選手ID,選手名,球団,試合,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,打点,三振,四球,死球,犠打,犠飛,併殺打,打率,出塁率,長打率,OPS,更新日
43545159,エスピノーザ,オリックス・バファローズ,2,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/08/01
93595152,シーモア,オリックス・バファローズ,42,144,139,22,15,4,0,3,35,15,45,3,1,0,1,1,0.158,0.181,0.252,0.432,2026/08/01
03505152,ジェリー,オリックス・バファローズ,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/08/01
83385159,横山 聖哉,オリックス・バファローズ,6,14,13,2,2,0,0,0,2,0,7,0,0,1,0,0,0.154,0.154,0.154,0.308,2026/08/01
51755138,宜保 翔,オリックス・バファローズ,13,33,30,5,4,1,0,0,6,0,7,2,0,1,0,1,0.167,0.219,0.200,0.419,2026/08/01
71775139,九里 亜蓮,オリックス・バファローズ,2,6,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0.000,0.000,0.000,0.000,2026/08/01
01705152,窪田 洋祐,オリックス・バファローズ,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/08/01
91995151,紅林 弘太郎,オリックス・バファローズ,88,340,298,75,51,11,1,12,124,32,48,32,5,3,2,10,0.252,0.332,0.416,0.748,2026/08/01
33335150,山中 稜真,オリックス・バファローズ,52,220,195,60,49,9,1,1,74,18,31,21,2,0,2,5,0.308,0.377,0.379,0.757,2026/08/01
41645139,若月 健矢,オリックス・バファローズ,70,234,202,43,30,12,0,1,58,13,44,17,1,14,0,6,0.213,0.277,0.287,0.564,2026/08/01
11815130,宗 佑磨,オリックス・バファローズ,88,362,312,73,52,12,2,7,110,36,57,34,9,4,3,5,0.234,0.324,0.353,0.677,2026/08/01
91495139,森 友哉,オリックス・バファローズ,60,233,210,54,38,9,0,7,84,24,43,22,1,0,0,2,0.257,0.330,0.400,0.730,2026/08/01
61965132,杉本 裕太郎,オリックス・バファローズ,15,43,39,5,3,2,0,0,7,5,13,2,0,0,2,0,0.128,0.163,0.179,0.342,2026/08/01
61965157,杉澤 龍,オリックス・バファローズ,24,69,62,19,11,5,1,2,32,7,18,4,1,1,1,1,0.306,0.353,0.516,0.869,2026/08/01
71475132,西川 龍馬,オリックス・バファローズ,96,411,384,112,82,24,0,6,154,37,51,23,0,1,3,15,0.292,0.329,0.401,0.730,2026/08/01
91495130,西野 真弘,オリックス・バファローズ,29,85,77,14,12,2,0,0,16,0,10,5,1,2,0,2,0.182,0.241,0.208,0.449,2026/08/01
81985157,曽谷 龍平,オリックス・バファローズ,2,5,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0.000,0.000,0.000,0.000,2026/08/01
91395138,太田 椋,オリックス・バファローズ,81,334,298,84,57,18,1,8,128,38,71,33,2,0,1,12,0.282,0.356,0.430,0.786,2026/08/01
11515132,大城 滉二,オリックス・バファローズ,8,16,16,5,4,1,0,0,6,3,4,0,0,0,0,1,0.313,0.313,0.375,0.688,2026/08/01
41145155,池田 陵真,オリックス・バファローズ,1,4,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0.000,0.250,0.000,0.250,2026/08/01
51255138,中川 圭太,オリックス・バファローズ,86,347,313,81,62,12,1,6,113,30,36,25,3,2,4,3,0.259,0.316,0.361,0.677,2026/08/01
41045136,田嶋 大樹,オリックス・バファローズ,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2026/08/01
63565155,渡部 遼人,オリックス・バファローズ,56,207,176,43,36,2,2,3,58,11,39,21,2,8,0,1,0.244,0.332,0.330,0.661,2026/08/01
91295157,内藤 鵬,オリックス・バファローズ,1,4,4,2,1,1,0,0,3,0,1,0,0,0,0,1,0.500,0.500,0.750,1.250,2026/08/01
