投手ID,投手,野手ID,野手,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,打点,三振,四球,犠打,犠飛,死球,出塁率,長打率,OPS
01005157,田中 晴也,01705130,栗原 陵矢,0.200,6,5,1,1,0,0,0,0,0,1,0,0,0,0.333,0.200,0.533
01005157,田中 晴也,01905151,黒川 史陽,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000
01005157,田中 晴也,11015138,辰己 涼介,0.333,4,3,1,0,1,0,0,0,0,1,0,0,0,0.500,0.667,1.167
01005157,田中 晴也,11615155,野村 勇,0.200,8,5,1,1,0,0,0,0,0,3,0,0,0,0.500,0.200,0.700
01005157,田中 晴也,11815130,宗 佑磨,1.000,1,1,1,0,1,0,0,0,1,0,0,0,0,1.000,2.000,3.000
01005157,田中 晴也,11815159,福島 圭音,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,13015153,ティマ,0.500,3,2,1,1,0,0,0,0,0,1,0,0,0,0.667,0.500,1.167
01005157,田中 晴也,13115153,牧 秀悟,0.500,2,2,1,0,0,0,1,3,0,0,0,0,0,0.500,2.000,2.500
01005157,田中 晴也,21125134,石井 一成,0.167,7,6,1,0,0,0,1,1,0,1,0,0,0,0.286,0.667,0.952
01005157,田中 晴也,21325134,大山 悠輔,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667
01005157,田中 晴也,21325136,大城 卓三,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,21425139,山川 穂高,0.500,5,4,2,0,0,0,2,4,1,1,0,0,0,0.600,2.000,2.600
01005157,田中 晴也,21425159,中島 大輔,0.500,3,2,1,1,0,0,0,0,0,0,1,0,0,0.500,0.500,1.000
01005157,田中 晴也,21825157,松尾 汐恩,,1,0,0,0,0,0,0,0,0,0,1,0,0,,,
01005157,田中 晴也,21925136,周東 佑京,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000
01005157,田中 晴也,23325152,カナリオ,0.600,8,5,3,0,2,0,1,5,0,1,2,0,0,0.667,1.600,2.267
01005157,田中 晴也,31335131,今宮 健太,0.000,3,2,0,0,0,0,0,0,0,1,0,0,0,0.333,0.000,0.333
01005157,田中 晴也,31835133,柳田 悠岐,0.000,2,1,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000
01005157,田中 晴也,33535159,度会 隆輝,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,33935152,林 安可,0.200,6,5,1,1,0,0,0,0,0,0,1,0,0,0.200,0.200,0.400
01005157,田中 晴也,41045153,佐藤 輝明,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,41145138,伊藤 裕季也,0.000,5,2,0,0,0,0,0,0,0,2,1,0,0,0.500,0.000,0.500
01005157,田中 晴也,41245153,髙寺 望夢,0.000,4,3,0,0,0,0,0,0,0,1,0,0,0,0.250,0.000,0.250
01005157,田中 晴也,41445153,中野 拓夢,0.000,4,2,0,0,0,0,0,1,0,1,1,0,0,0.333,0.000,0.333
01005157,田中 晴也,41545138,勝又 温史,0.000,1,1,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,41545152,小田 康一郎,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,41645139,若月 健矢,0.000,3,2,0,0,0,0,0,0,0,1,0,0,0,0.333,0.000,0.333
01005157,田中 晴也,41745135,近藤 健介,0.250,5,4,1,1,0,0,0,0,0,0,1,0,0,0.250,0.250,0.500
01005157,田中 晴也,41745152,小島 大河,0.333,6,6,2,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667
01005157,田中 晴也,41845132,村林 一輝,0.667,3,3,2,2,0,0,0,3,0,0,0,0,0,0.667,0.667,1.333
01005157,田中 晴也,41945131,筒香 嘉智,1.000,1,1,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000
01005157,田中 晴也,43145157,森下 翔太,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,51155118,浅村 栄斗,0.667,4,3,2,0,1,0,1,4,0,1,0,0,0,0.750,2.000,2.750
01005157,田中 晴也,51155152,秋山 俊,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667
01005157,田中 晴也,51255138,中川 圭太,0.500,4,2,1,1,0,0,0,0,0,1,1,0,0,0.667,0.500,1.167
01005157,田中 晴也,51255155,滝澤 夏央,0.000,3,3,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,51455136,西川 愛也,0.167,6,6,1,1,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333
01005157,田中 晴也,51555151,蝦名 達夫,1.000,2,2,2,2,0,0,0,1,0,0,0,0,0,1.000,1.000,2.000
01005157,田中 晴也,51655153,中山 礼都,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,51755135,桑原 将志,0.167,8,6,1,1,0,0,0,1,1,2,0,0,0,0.375,0.167,0.542
01005157,田中 晴也,51955151,岸 潤一郎,0.000,4,2,0,0,0,0,0,0,0,1,1,0,0,0.333,0.000,0.333
01005157,田中 晴也,51955159,佐々木 俊輔,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
01005157,田中 晴也,53355152,ウィットリー,0.000,3,1,0,0,0,0,0,0,0,1,1,0,0,0.500,0.000,0.500
01005157,田中 晴也,53755150,ネビン,0.667,4,3,2,2,0,0,0,0,0,1,0,0,0,0.750,0.667,1.417
01005157,田中 晴也,61065137,伏見 寅威,0.500,2,2,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000
01005157,田中 晴也,61165159,泉口 友汰,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667
01005157,田中 晴也,61465133,牧原 大成,0.000,8,5,0,0,0,0,0,0,0,3,0,0,0,0.375,0.000,0.375
01005157,田中 晴也,61965151,小深田 大翔,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667
