ID,球団名,選手名,ポジション,区分,備考
11215114,読売ジャイアンツ,田中 将大,投手,支配下,
81085155,読売ジャイアンツ,大勢,投手,支配下,
31635159,読売ジャイアンツ,西舘 勇陽,投手,支配下,
03305153,読売ジャイアンツ,山﨑 伊織,投手,支配下,
41045138,読売ジャイアンツ,戸郷 翔征,投手,支配下,
71275152,読売ジャイアンツ,竹丸 和幸,投手,支配下,
11015155,読売ジャイアンツ,代木 大和,投手,支配下,
53355152,読売ジャイアンツ,ウィットリー,投手,支配下,
23725150,読売ジャイアンツ,ハワード,投手,支配下,
21225152,読売ジャイアンツ,田和 廉,投手,支配下,
51155155,読売ジャイアンツ,赤星 優志,投手,支配下,
43145152,読売ジャイアンツ,山城 京平,投手,支配下,
81285132,読売ジャイアンツ,中川 皓太,投手,支配下,
53755152,読売ジャイアンツ,マタ,投手,支配下,
51055137,読売ジャイアンツ,則本 昂大,投手,支配下,
61065136,読売ジャイアンツ,田中 瑛斗,投手,支配下,
33135159,読売ジャイアンツ,又木 鉄平,投手,支配下,
43345159,読売ジャイアンツ,森田 駿哉,投手,支配下,
03005157,読売ジャイアンツ,ルシアーノ,投手,支配下,
23225157,読売ジャイアンツ,バルドナード,投手,支配下,
91095134,読売ジャイアンツ,高梨 雄平,投手,支配下,
33135155,読売ジャイアンツ,松浦 慶斗,投手,支配下,
01505136,読売ジャイアンツ,北浦 竜次,投手,支配下,
13115150,読売ジャイアンツ,宮原 駿介,投手,支配下,
31835157,読売ジャイアンツ,船迫 大雅,投手,支配下,
81885138,読売ジャイアンツ,横川 凱,投手,支配下,
01105138,読売ジャイアンツ,泉 圭輔,投手,支配下,
53555155,読売ジャイアンツ,山田 龍聖,投手,支配下,
61165153,読売ジャイアンツ,石川 達也,投手,支配下,
21825153,読売ジャイアンツ,平内 龍太,投手,支配下,
21625151,読売ジャイアンツ,堀田 賢慎,投手,支配下,
23925134,読売ジャイアンツ,マルティネス,投手,支配下,
51355151,読売ジャイアンツ,井上 温大,投手,支配下,
71575132,読売ジャイアンツ,小笠原 慎之介,投手,支配下,
91595133,読売ジャイアンツ,甲斐 拓也,捕手,支配下,
91795139,読売ジャイアンツ,小林 誠司,捕手,支配下,
21325136,読売ジャイアンツ,大城 卓三,捕手,支配下,
91595136,読売ジャイアンツ,岸田 行倫,捕手,支配下,
91795134,読売ジャイアンツ,郡 拓也,捕手,支配下,
03105151,読売ジャイアンツ,山瀬 慎之助,捕手,支配下,
43145136,読売ジャイアンツ,湯浅 大,内野手,支配下,
51855132,読売ジャイアンツ,増田 大輝,内野手,支配下,
73375134,読売ジャイアンツ,吉川 尚輝,内野手,支配下,
11515157,読売ジャイアンツ,門脇 誠,内野手,支配下,
51955114,読売ジャイアンツ,坂本 勇人,内野手,支配下,
61165150,読売ジャイアンツ,石塚 裕惺,内野手,支配下,
63565152,読売ジャイアンツ,ダルベック,内野手,支配下,
81385150,読売ジャイアンツ,浦田 俊輔,内野手,支配下,
61765152,読売ジャイアンツ,小濱 佑斗,内野手,支配下,
61165159,読売ジャイアンツ,泉口 友汰,内野手,支配下,
11015136,読売ジャイアンツ,リチャード,内野手,支配下,
71175150,読売ジャイアンツ,荒巻 悠,内野手,支配下,
01605138,読売ジャイアンツ,増田 陸,内野手,支配下,
01305159,読売ジャイアンツ,宇都宮 葵星,内野手,支配下,
41645159,読売ジャイアンツ,平山 功太,内野手,支配下,
21625152,読売ジャイアンツ,藤井 健翔,内野手,支配下,
21425116,読売ジャイアンツ,丸 佳浩,外野手,支配下,
21625135,読売ジャイアンツ,松本 剛,外野手,支配下,
81485157,読売ジャイアンツ,萩尾 匡也,外野手,支配下,
73575150,読売ジャイアンツ,キャベッジ,外野手,支配下,
81385155,読売ジャイアンツ,岡田 悠希,外野手,支配下,
33135152,読売ジャイアンツ,皆川 岳飛,外野手,支配下,
51655153,読売ジャイアンツ,中山 礼都,外野手,支配下,
51955159,読売ジャイアンツ,佐々木 俊輔,外野手,支配下,
13015153,読売ジャイアンツ,ティマ,外野手,支配下,
91195157,読売ジャイアンツ,浅野 翔吾,外野手,支配下,
91095155,読売ジャイアンツ,鈴木 大和,外野手,支配下,
53555153,読売ジャイアンツ,若林 楽人,外野手,支配下,移籍
77775159,読売ジャイアンツ,知念 大成,外野手,支配下,
21925155,読売ジャイアンツ,笹原 操希,外野手,支配下,
13115157,読売ジャイアンツ,三塚 琉生,外野手,支配下,
61265152,読売ジャイアンツ,冨重 英二郎,投手,育成,
11615152,読売ジャイアンツ,林 燦,投手,育成,
21825150,読売ジャイアンツ,堀江 正太郎,投手,育成,
21225150,読売ジャイアンツ,鈴木 圭晋,投手,育成,
41245159,読売ジャイアンツ,千葉 隆広,投手,育成,
71975153,読売ジャイアンツ,木下 幹也,投手,育成,
21025159,読売ジャイアンツ,園田 純規,投手,育成,
01805157,読売ジャイアンツ,松井 颯,投手,育成,
41045157,読売ジャイアンツ,田村 朋輝,投手,育成,
73575157,読売ジャイアンツ,吉村 優聖歩,投手,育成,
11415155,読売ジャイアンツ,富田 龍,投手,育成,
01605150,読売ジャイアンツ,西川 歩,投手,育成,
51855150,読売ジャイアンツ,吹田 志道,投手,育成,
13315157,読売ジャイアンツ,森本 哲星,投手,育成,
73275159,読売ジャイアンツ,黄 錦豪,投手,育成,
83085150,読売ジャイアンツ,グズマン,投手,育成,
